distance_km,operateur_enc,type_service_enc,type_ligne_enc,pays_enc,co2_emission_kg,heure_sin,heure_cos
372.6486919618105,0,0,1,1,5.217081687465347,0.9659258262890683,0.25881904510252074
254.5886957328416,0,0,1,1,3.564241740259782,-1.0,-1.8369701987210297e-16
451.39722106576073,0,0,1,1,6.31956109492065,-0.2588190451025208,-0.9659258262890683
188.67938257042655,0,0,1,1,2.6415113559859718,0.9659258262890683,0.25881904510252074
419.7549557678825,0,0,1,1,5.876569380750355,0.7071067811865476,-0.7071067811865475
295.7736619362274,0,0,1,1,4.140831267107184,-0.8660254037844385,-0.5000000000000004
521.3841514486248,0,0,1,1,7.299378120280748,-0.8660254037844386,0.5000000000000001
426.0379957205557,0,1,1,1,5.96453194008778,-0.25881904510252157,0.9659258262890681
5.478156393341205,0,0,1,1,0.07669418950677687,-0.7071067811865471,-0.7071067811865479
196.18695145107705,0,0,1,1,2.746617320315079,1.0,6.123233995736766e-17
151.71752871747265,0,0,1,1,2.124045402044617,0.9659258262890683,0.25881904510252074
498.8025790322493,0,0,1,1,6.98323610645149,-0.8660254037844385,-0.5000000000000004
498.8025790322493,0,0,1,1,6.98323610645149,0.9659258262890683,-0.25881904510252063
424.1277841506693,0,0,1,1,5.93778897810937,1.2246467991473532e-16,-1.0
426.0379957205557,0,0,1,1,5.96453194008778,0.258819045102521,-0.9659258262890682
5.478156393341205,0,0,1,1,0.07669418950677687,-0.8660254037844386,0.5000000000000001
258.8136977662811,0,0,1,1,3.6233917687279353,0.8660254037844387,-0.4999999999999998
151.71752871747265,0,0,1,1,2.124045402044617,0.49999999999999994,-0.8660254037844387
425.8357320275878,0,1,1,1,5.961700248386229,-0.25881904510252157,0.9659258262890681
295.2150483691684,0,0,1,1,4.1330106771683575,-0.9659258262890684,0.2588190451025203
86.15545427366249,0,0,1,1,1.2061763598312747,1.2246467991473532e-16,-1.0
5.478156393341205,0,0,1,1,0.07669418950677687,0.7071067811865476,-0.7071067811865475
126.7301361023804,0,0,1,1,1.7742219054333257,0.9659258262890683,-0.25881904510252063
394.7286906489506,0,0,1,1,5.5262016690853075,-0.4999999999999997,-0.8660254037844388
151.71752871747265,0,0,1,1,2.124045402044617,-0.2588190451025208,-0.9659258262890683
